연도,월,날짜,지역,행정구역,구분,관광지,방문자수,평균지출액,평균기온,강수량_mm,외국인비율,이벤트,비고
2023,1,2023-01-01,제주시,아라동,동,제주 전역,3620.0,128772,4.2,53.0,0.091,False,
2023,1,2023-01-01,제주시,봉개동,동,제주 전역,4554.0,128101,4.6,80.0,0.124,False,
2023,1,2023-01-01,제주시,도두동,동,제주 전역,4146.0,127194,4.8,78.0,0.1,False,
2023,1,2023-01-01,제주시,건입동,동,제주 전역,4064.0,125456,6.0,60.0,0.135,False,
2023,1,2023-01-01,제주시,화북동,동,제주 전역,3519.0,130821,3.8,72.0,0.142,False,
2023,1,2023-01-01,제주시,이도1동,동,제주 전역,3853.0,127817,4.9,79.0,0.117,False,
2023,1,2023-01-01,제주시,이도2동,동,제주 전역,4165.0,132933,4.6,72.0,0.129,False,
2023,1,2023-01-01,제주시,이호동,동,제주 전역,4177.0,130766,4.7,53.0,0.109,False,
2023,1,2023-01-01,제주시,일도1동,동,제주 전역,4470.0,127932,5.0,36.0,0.127,False,
2023,1,2023-01-01,제주시,일도2동,동,제주 전역,3210.0,127439,3.3,90.0,0.11,False,
2023,1,2023-01-01,제주시,노형동,동,제주 전역,5665.0,134162,4.9,78.0,0.142,False,
2023,1,2023-01-01,제주시,외도동,동,제주 전역,4218.0,134875,3.9,56.0,0.121,False,
2023,1,2023-01-01,제주시,오라동,동,제주 전역,4379.0,126258,4.6,93.0,0.099,False,
2023,1,2023-01-01,제주시,삼도1동,동,제주 전역,3997.0,125941,4.0,85.0,0.115,False,
2023,1,2023-01-01,제주시,삼도2동,동,제주 전역,3983.0,125679,4.6,64.0,0.138,False,
2023,1,2023-01-01,제주시,삼양동,동,제주 전역,4078.0,135084,5.0,66.0,0.137,False,
2023,1,2023-01-01,제주시,연동,동,제주 전역,5513.0,130553,4.9,44.0,0.127,False,
2023,1,2023-01-01,제주시,용담1동,동,제주 전역,4709.0,128334,4.3,73.0,0.135,False,
2023,1,2023-01-01,제주시,용담2동,동,제주 전역,3950.0,131847,3.1,79.0,0.101,False,
2023,1,2023-01-01,제주시,애월읍,읍,제주 전역,3888.0,133366,4.3,69.0,0.09,False,
2023,1,2023-01-01,제주시,구좌읍,읍,제주 전역,4152.0,127293,4.5,54.0,0.129,False,
2023,1,2023-01-01,제주시,한림읍,읍,제주 전역,4545.0,131608,4.3,98.0,0.122,False,
2023,1,2023-01-01,제주시,조천읍,읍,제주 전역,4816.0,129481,4.0,85.0,0.11,False,
2023,1,2023-01-01,제주시,한경면,면,제주 전역,3938.0,129586,4.4,82.0,0.121,False,
2023,1,2023-01-01,제주시,추자면,면,제주 전역,3456.0,125473,5.4,77.0,0.139,False,
2023,1,2023-01-01,제주시,우도면,면,제주 전역,3953.0,130507,4.6,92.0,0.106,False,
2023,1,2023-01-01,서귀포시,송산동,동,서귀포 일대,5720.0,126792,3.3,67.0,0.129,False,
2023,1,2023-01-01,서귀포시,정방동,동,서귀포 일대,6517.0,127036,3.4,73.0,0.128,False,
2023,1,2023-01-01,서귀포시,중앙동,동,서귀포 일대,7232.0,128834,3.6,72.0,0.109,False,
2023,1,2023-01-01,서귀포시,천지동,동,서귀포 일대,5333.0,134601,3.6,83.0,0.107,False,
2023,1,2023-01-01,서귀포시,효돈동,동,서귀포 일대,6713.0,131931,4.8,61.0,0.129,False,
